NAME	TITLE	SCORE	
GJB3	gap junction protein beta 3 [Source:HGNC Symbol;Acc:HGNC:4285]	0.8134879	
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3 [Source:HGNC Symbol;Acc:HGNC:3365]	0.8130208	
HLA-B	major histocompatibility complex, class I, B [Source:HGNC Symbol;Acc:HGNC:4932]	0.81263083	
RIMS3	regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]	0.81089514	
RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	0.80808276	
INHA	inhibin subunit alpha [Source:HGNC Symbol;Acc:HGNC:6065]	0.8077916	
SPATA4	spermatogenesis associated 4 [Source:HGNC Symbol;Acc:HGNC:17333]	0.8069144	
POT1	protection of telomeres 1 [Source:HGNC Symbol;Acc:HGNC:17284]	0.8040043	
ECHDC2	enoyl-CoA hydratase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23408]	0.80368197	
KIF17	kinesin family member 17 [Source:HGNC Symbol;Acc:HGNC:19167]	0.8021026	
ACY3	aminoacylase 3 [Source:HGNC Symbol;Acc:HGNC:24104]	0.8020803	
RCC1L	RCC1 like [Source:HGNC Symbol;Acc:HGNC:14948]	0.80035496	
NUB1	negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]	0.7984118	
MAP3K5	mitogen-activated protein kinase kinase kinase 5 [Source:HGNC Symbol;Acc:HGNC:6857]	0.79836315	
FNDC11	fibronectin type III domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28764]	0.7979709	
ARL13B	ADP ribosylation factor like GTPase 13B [Source:HGNC Symbol;Acc:HGNC:25419]	0.79783165	
ZBP1	Z-DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:16176]	0.79734707	
ANKMY2	ankyrin repeat and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25370]	0.79700726	
PHEX	phosphate regulating endopeptidase X-linked [Source:HGNC Symbol;Acc:HGNC:8918]	0.7960705	
PLEKHG4B	pleckstrin homology and RhoGEF domain containing G4B [Source:HGNC Symbol;Acc:HGNC:29399]	0.79597324	
SLC27A6	solute carrier family 27 member 6 [Source:HGNC Symbol;Acc:HGNC:11000]	0.7956548	
RFFL	ring finger and FYVE like domain containing E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:24821]	0.7951916	
SLC29A2	solute carrier family 29 member 2 [Source:HGNC Symbol;Acc:HGNC:11004]	0.79427093	
C11orf65	chromosome 11 open reading frame 65 [Source:HGNC Symbol;Acc:HGNC:28519]	0.79303	
RPA3	replication protein A3 [Source:HGNC Symbol;Acc:HGNC:10291]	0.79266983	
FTCDNL1	formiminotransferase cyclodeaminase N-terminal like [Source:HGNC Symbol;Acc:HGNC:48661]	0.7919732	
PSMB8	proteasome 20S subunit beta 8 [Source:HGNC Symbol;Acc:HGNC:9545]	0.7893104	
UPP1	uridine phosphorylase 1 [Source:HGNC Symbol;Acc:HGNC:12576]	0.78907037	
EGF	epidermal growth factor [Source:HGNC Symbol;Acc:HGNC:3229]	0.7874957	
ATP6V1E2	ATPase H+ transporting V1 subunit E2 [Source:HGNC Symbol;Acc:HGNC:18125]	0.78540593	
APOL6	apolipoprotein L6 [Source:HGNC Symbol;Acc:HGNC:14870]	0.7837223	
