NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOBP_AUTONOMIC_NERVOUS_SYSTEM_DEVELOPMENT	46	37		
GOBP_AUTOPHAGIC_CELL_DEATH	9		Rejected!	
GOBP_AUTOPHAGOSOME_LYSOSOME_FUSION	16	16		
GOBP_AUTOPHAGOSOME_MATURATION	70	64		
GOBP_AUTOPHAGOSOME_MEMBRANE_DOCKING	7		Rejected!	
GOBP_AUTOPHAGOSOME_ORGANIZATION	133	123		
GOBP_AUTOPHAGY_OF_MITOCHONDRION	116	106		
GOBP_AUTOPHAGY_OF_PEROXISOME	16		Rejected!	
GOBP_AUTOSOME_GENOMIC_IMPRINTING	6		Rejected!	
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_COMMUNICATION	14		Rejected!	
GOBP_AV_NODE_CELL_TO_BUNDLE_OF_HIS_CELL_SIGNALING	11		Rejected!	
GOBP_AXIAL_MESODERM_DEVELOPMENT	9		Rejected!	
GOBP_AXIS_ELONGATION	31	28		
GOBP_AXIS_ELONGATION_INVOLVED_IN_SOMITOGENESIS	5		Rejected!	
GOBP_AXIS_SPECIFICATION	100	81		
GOBP_AXONAL_FASCICULATION	21	21		
GOBP_AXONAL_TRANSPORT	69	62		
GOBP_AXONAL_TRANSPORT_OF_MITOCHONDRION	16		Rejected!	
GOBP_AXONEMAL_CENTRAL_APPARATUS_ASSEMBLY	6		Rejected!	
GOBP_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	40	37		
GOBP_AXONEME_ASSEMBLY	105	97		
GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION	10		Rejected!	
GOBP_AXON_CHOICE_POINT_RECOGNITION	7		Rejected!	
GOBP_AXON_DEVELOPMENT	534	471		
GOBP_AXON_ENSHEATHMENT_IN_CENTRAL_NERVOUS_SYSTEM	25	22		
GOBP_AXON_EXTENSION	113	102		
GOBP_AXON_MIDLINE_CHOICE_POINT_RECOGNITION	5		Rejected!	
GOBP_AXO_DENDRITIC_PROTEIN_TRANSPORT	9		Rejected!	
GOBP_AXO_DENDRITIC_TRANSPORT	86	79		
GOBP_AZOLE_TRANSMEMBRANE_TRANSPORT	15		Rejected!	
GOBP_BARBED_END_ACTIN_FILAMENT_CAPPING	27	25		
GOBP_BASEMENT_MEMBRANE_ORGANIZATION	40	35		
GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING	18		Rejected!	
GOBP_BASE_EXCISION_REPAIR	48	46		
GOBP_BASE_EXCISION_REPAIR_AP_SITE_FORMATION	12		Rejected!	
GOBP_BASE_EXCISION_REPAIR_GAP_FILLING	14		Rejected!	
GOBP_BASIC_AMINO_ACID_TRANSPORT	23	18		
GOBP_BASOLATERAL_PROTEIN_SECRETION	5		Rejected!	
GOBP_BEHAVIOR	697		Rejected!	
GOBP_BEHAVIORAL_RESPONSE_TO_COCAINE	16		Rejected!	
GOBP_BEHAVIORAL_RESPONSE_TO_ETHANOL	10		Rejected!	
GOBP_BEHAVIORAL_RESPONSE_TO_NICOTINE	9		Rejected!	
GOBP_BEHAVIORAL_RESPONSE_TO_PAIN	20	18		
GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	23	18		
