NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GOBP_FOREBRAIN_GENERATION_OF_NEURONS	GOBP_FOREBRAIN_GENERATION_OF_NEURONS		80	0.1880353	0.79876107	0.8123028	1.0	1.0	3002	tags=24%, list=20%, signal=29%	
HP_NON_HODGKIN_LYMPHOMA	HP_NON_HODGKIN_LYMPHOMA		31	0.22617449	0.7986091	0.77017546	1.0	1.0	2793	tags=29%, list=18%, signal=36%	
GOMF_PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY	GOMF_PHOSPHORIC_DIESTER_HYDROLASE_ACTIVITY		78	0.18661511	0.798438	0.8330579	1.0	1.0	4292	tags=36%, list=28%, signal=50%	
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	GOBP_MITOTIC_CHROMOSOME_CONDENSATION		18	0.2593042	0.7981484	0.72612613	1.0	1.0	5324	tags=50%, list=35%, signal=77%	
HP_ABNORMALITY_OF_RETINAL_PIGMENTATION	HP_ABNORMALITY_OF_RETINAL_PIGMENTATION		284	0.1550028	0.79796517	0.95049506	1.0	1.0	2488	tags=17%, list=16%, signal=19%	
GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION	GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION		26	0.23651344	0.7979278	0.7589286	1.0	1.0	3375	tags=27%, list=22%, signal=35%	
GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION		166	0.1664259	0.79777616	0.9171779	1.0	1.0	3375	tags=23%, list=22%, signal=30%	
GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY		28	0.23352715	0.7965687	0.7712305	1.0	1.0	1119	tags=11%, list=7%, signal=12%	
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT	GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT		17	0.2698754	0.796548	0.75373137	1.0	1.0	698	tags=12%, list=5%, signal=12%	
HP_ABNORMAL_CIRCULATING_IGG_CONCENTRATION	HP_ABNORMAL_CIRCULATING_IGG_CONCENTRATION		103	0.1804483	0.79648143	0.85400313	1.0	1.0	2338	tags=17%, list=15%, signal=19%	
HP_XEROSTOMIA	HP_XEROSTOMIA		48	0.21050301	0.79648	0.7962329	1.0	1.0	5398	tags=48%, list=36%, signal=74%	
GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS	GOBP_NEUTRAL_LIPID_CATABOLIC_PROCESS		31	0.22707218	0.79634845	0.8080279	1.0	1.0	822	tags=13%, list=5%, signal=14%	
HP_BLOODY_DIARRHEA	HP_BLOODY_DIARRHEA		39	0.2152009	0.7962921	0.80347824	1.0	1.0	4605	tags=36%, list=30%, signal=52%	
