"gene","Gene name","log2FoldChange","padj"
"ENSG00000134352","IL6ST",-1.43614048520253e-05,0.725026911322501
"ENSG00000145730","PAM",-5.52953373134466e-07,0.967820517750895
"ENSG00000145725","PPIP5K2",-7.56704361949873e-06,0.464252277215993
"ENSG00000172901","LVRN",1.37154032879526e-06,0.831998969488864
"ENSG00000158402","CDC25C",2.38743907509247e-06,0.769478102173628
"ENSG00000044115","CTNNA1",-6.09115015500305e-06,0.305252038489337
"ENSG00000158458","NRG2",-1.03632271057389e-06,0.929470205535457
"ENSG00000131503","ANKHD1",-5.4477581069791e-07,0.924244012476546
"ENSG00000055163","CYFIP2",-1.72371145287189e-06,0.78113540917957
"ENSG00000124570","SERPINB6",-4.72568996846378e-06,0.695323195706916
"ENSG00000124782","RREB1",-1.29410008875515e-05,0.879247091817547
"ENSG00000204531","POU5F1",1.24584366566171e-07,0.983087966612697
"ENSG00000137309","HMGA1",6.36034063958745e-07,0.940186428874955
"ENSG00000137409","MTCH1",-4.08098226078151e-05,0.87909208517591
"ENSG00000056972","TRAF3IP2",7.19204994827215e-07,0.940048731451
"ENSG00000111907","TPD52L1",2.69021007013424,0.0153503322305948
"ENSG00000112319","EYA4",4.74157362676364e-07,0.911331247514058
"ENSG00000118495","PLAGL1",3.32353393010714e-07,0.934977749002519
"ENSG00000120265","PCMT1",3.68755081982277e-06,0.878472151960496
"ENSG00000125337","KIF25",2.26803463856519e-07,NA
"ENSG00000071189","SNX13",3.45631694601917e-07,0.986985063260375
"ENSG00000122507","BBS9",-1.65197487581846e-05,0.854554724189009
"ENSG00000106536","POU6F2",1.69970122465909e-07,NA
"ENSG00000136279","DBNL",3.45392869733938e-06,0.815468867202134
"ENSG00000058404","CAMK2B",-2.99175948400001e-06,0.421110883812813
"ENSG00000185811","IKZF1",1.57339463818323e-07,NA
"ENSG00000146648","EGFR",-1.43506264413205e-06,0.876749151733618
"ENSG00000121716","PILRB",9.66296851914251e-07,0.832628077132865
"ENSG00000128604","IRF5",2.23033691773614e-06,0.0767766019478164
"ENSG00000080802","CNOT4",-8.23846645522338e-07,0.807114261461827
"ENSG00000170379","TCAF2",2.66129269043831e-06,0.437361926757196
"ENSG00000164896","FASTK",-1.42051917739823e-05,0.846953595379958
"ENSG00000055609","KMT2C",-2.48874337463298e-05,0.980455876932198
"ENSG00000104723","TUSC3",3.09108181421416e-07,0.890292799162167
"ENSG00000104343","UBE2W",-5.34483667492048e-06,0.777233841157011
"ENSG00000132554","RGS22",1.32666517919672e-06,0.285219990579561
"ENSG00000129292","PHF20L1",-1.97421791819733e-05,0.169000344704482
"ENSG00000107104","KANK1",-2.91289774399933e-06,0.676492362359864
"ENSG00000137145","DENND4C",-1.4433957933784e-07,0.991686393422587
"ENSG00000099810","MTAP",-6.30790077403427e-08,0.970576886670208
"ENSG00000180071","ANKRD18A",5.5709867059021e-07,0.374996092960103
"ENSG00000119139","TJP2",-1.37785607559388e-06,NA
