NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
WP_NONALCOHOLIC_FATTY_LIVER_DISEASE	WP_NONALCOHOLIC_FATTY_LIVER_DISEASE		125	-0.19871277	-0.98549163	0.47191012	0.774656	1.0	2654	tags=21%, list=18%, signal=25%	
REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY	REACTOME_REGULATION_OF_RUNX1_EXPRESSION_AND_ACTIVITY		15	-0.3262768	-0.98470557	0.46025103	0.7765655	1.0	3256	tags=40%, list=22%, signal=51%	
NOJIMA_SFRP2_TARGETS_UP	NOJIMA_SFRP2_TARGETS_UP		25	-0.28159958	-0.98453224	0.4817987	0.77651113	1.0	756	tags=16%, list=5%, signal=17%	
PID_PDGFRA_PATHWAY	PID_PDGFRA_PATHWAY		17	-0.3184849	-0.9842949	0.4627907	0.7766309	1.0	2534	tags=24%, list=17%, signal=28%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		83	-0.218319	-0.9835919	0.5	0.77815366	1.0	1758	tags=16%, list=12%, signal=18%	
REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT	REACTOME_COPI_MEDIATED_ANTEROGRADE_TRANSPORT		87	-0.21581782	-0.9832358	0.46505377	0.77869713	1.0	3127	tags=25%, list=21%, signal=32%	
REACTOME_COLLAGEN_DEGRADATION	REACTOME_COLLAGEN_DEGRADATION		54	-0.23390925	-0.9831742	0.47311828	0.77832687	1.0	2821	tags=28%, list=19%, signal=34%	
REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE	REACTOME_INHIBITION_OF_DNA_RECOMBINATION_AT_TELOMERE		47	-0.24145114	-0.98285943	0.4849246	0.77876925	1.0	3510	tags=32%, list=23%, signal=41%	
WP_CIRCADIAN_RHYTHM_GENES	WP_CIRCADIAN_RHYTHM_GENES		162	-0.18866576	-0.9825283	0.49101797	0.7792303	1.0	3664	tags=29%, list=24%, signal=38%	
REACTOME_L1CAM_INTERACTIONS	REACTOME_L1CAM_INTERACTIONS		101	-0.20713985	-0.982172	0.50276244	0.77976775	1.0	3110	tags=26%, list=21%, signal=32%	
LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN	LI_WILMS_TUMOR_VS_FETAL_KIDNEY_2_DN		43	-0.24883443	-0.98202586	0.48762375	0.779643	1.0	1769	tags=23%, list=12%, signal=26%	
KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT	KEGG_MEDICUS_REFERENCE_ARL8_REGULATED_MICROTUBULE_PLUS_END_DIRECTED_TRANSPORT		29	-0.27345514	-0.98099566	0.47511312	0.7823215	1.0	3491	tags=31%, list=23%, signal=40%	
TANG_SENESCENCE_TP53_TARGETS_UP	TANG_SENESCENCE_TP53_TARGETS_UP		27	-0.27710566	-0.98064554	0.44819278	0.7828155	1.0	624	tags=15%, list=4%, signal=15%	
REACTOME_RAS_PROCESSING	REACTOME_RAS_PROCESSING		22	-0.2877192	-0.98059946	0.4730392	0.7823908	1.0	3742	tags=32%, list=25%, signal=42%	
NOUZOVA_METHYLATED_IN_APL	NOUZOVA_METHYLATED_IN_APL		53	-0.23445182	-0.9801339	0.4910486	0.7832821	1.0	3395	tags=34%, list=22%, signal=44%	
NABA_PROTEOGLYCANS	NABA_PROTEOGLYCANS		25	-0.27854922	-0.9797001	0.48181817	0.7840794	1.0	1842	tags=28%, list=12%, signal=32%	
PULVER_FOREY_PERTURB_ATTRITION_LG1	PULVER_FOREY_PERTURB_ATTRITION_LG1		407	-0.17042796	-0.9794142	0.5703704	0.78435606	1.0	4631	tags=36%, list=31%, signal=50%	
BIOCARTA_NOS1_PATHWAY	BIOCARTA_NOS1_PATHWAY		16	-0.3130718	-0.97923326	0.4916067	0.78435796	1.0	1167	tags=19%, list=8%, signal=20%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS		83	-0.21534848	-0.97899884	0.48129675	0.78451246	1.0	3846	tags=34%, list=25%, signal=45%	
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION	REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION		21	-0.2947451	-0.97844243	0.4520548	0.7857444	1.0	3960	tags=33%, list=26%, signal=45%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES		19	-0.30250087	-0.9783866	0.46052632	0.78532666	1.0	3040	tags=37%, list=20%, signal=46%	
